UF,ref_city,ref_prefix_i,ref_prefix_f,ref_latitude,ref_longiitude,ref_state
ba,amargosa,45300,45304,"-13,03445136","-39,5981225",bahia
ba,amelia rodrigues,44230,44244,"-12,4001884","-38,75555692",bahia
ba,america dourada,44910,44914,"-11,44964586","-41,43716328",bahia
ba,america dourada,44910,44913,"-11,44964586","-41,43716328",bahia
ba,anage,45180,45189,"-14,61132559","-41,12711317",bahia
ba,andarai,46830,46834,"-12,80135065","-41,3246418",bahia
ba,andorinha,48990,48999,"-10,34424004","-39,8323357",bahia
ba,angical,47960,47969,"-12,00668277","-44,69582348",bahia
ba,anguera,44670,44679,"-12,14958707","-39,24849892",bahia
ba,anguera,44670,44675,"-12,14958707","-39,24849892",bahia
ba,antas,48420,48429,"-10,41270217","-38,33104168",bahia
ba,antonio cardoso,44180,44189,"-12,43483891","-39,11866154",bahia
ba,antonio goncalves,44780,44789,"-10,57579779","-40,2756587",bahia
ba,apora,48350,48359,"-11,65539429","-38,07999535",bahia
ba,apuarema,45355,45359,"-13,85322885","-39,74213212",bahia
ba,aracas,48108,48109,"-12,21519967","-38,19828802",bahia
ba,aracatu,46130,46139,"-14,42663024","-41,46168532",bahia
ba,araci,48760,48769,"-11,33572788","-38,96095816",bahia
ba,aramari,48130,48139,"-12,08818298","-38,50306635",bahia
ba,arataca,45695,45699,"-15,260873","-39,41328157",bahia
ba,aratuipe,44490,44499,"-13,08059654","-39,00291087",bahia
ba,aurelino leal,45675,45679,"-14,31694945","-39,32199664",bahia
ba,baianopolis,47830,47844,"-12,3041247","-44,53609805",bahia
ba,baianopolis,47830,47832,"-12,3041247","-44,53609805",bahia
ba,baixa grande,44620,44629,"-11,95935749","-40,16686091",bahia
ba,banzae,48405,48409,"-10,57409194","-38,61186963",bahia
ba,barra,47100,47114,"-11,08895482","-43,14363855",bahia
ba,barra da estiva,46650,46669,"-13,62020456","-41,33169587",bahia
ba,barra do choca,45120,45129,"-14,86427304","-40,57637299",bahia
ba,barra do choca,45120,45123,"-14,86427304","-40,57637299",bahia
ba,barra do mendes,44990,44999,"-11,80882828","-42,05912842",bahia
ba,barra do rocha,45560,45569,"-14,21002925","-39,60138609",bahia
ba,barreiras,47800,47819,"-12,14492489","-45,00416844",bahia
ba,barro alto,44895,44899,"-11,76106392","-41,91209606",bahia
ba,barro preto,45625,45629,"-14,80975439","-39,47333467",bahia
ba,barrocas,48705,48709,"-11,52911285","-39,07866888",bahia
ba,belmonte,45800,45806,"-15,86139649","-38,88030324",bahia
ba,belo campo,45160,45169,"-15,0334962","-41,26003348",bahia
ba,biritinga,48780,48789,"-11,62011026","-38,81215892",bahia
ba,boa nova,45250,45254,"-14,36260794","-40,20052189",bahia
ba,boa vista do tupim,46850,46859,"-12,66132219","-40,60574282",bahia
